date,open,high,low,close,volume,Name
07-02-2018,50.91,51.98,50.89,51.4,4845831,AAL
07-02-2018,163.085,163.4,159.0685,159.54,51608580,AAPL
07-02-2018,112.09,114.5799,109.9,109.93,2163545,AAP
07-02-2018,111.52,116.85,111.38,113.62,10030837,ABBV
07-02-2018,91.6,95.34,91.1,94.22,2509484,ABC
07-02-2018,58.6,59.85,58.5,58.67,6872663,ABT
07-02-2018,154.22,158.93,153.07,155.15,2918659,ACN
07-02-2018,193.87,196.24,192.02,192.34,2988024,ADBE
07-02-2018,86.75,87.95,85.29,85.35,4555784,ADI
07-02-2018,42.31,43.05,42.17,42.19,4587806,ADM
07-02-2018,112.09,115.68,111.69,113.56,2625896,ADP
07-02-2018,111.77,113.56,110.51,110.54,1599666,ADSK
07-02-2018,240.08,249.73,240.08,246.75,828933,ADS
07-02-2018,53,53.82,52.8,53.19,2669942,AEE
07-02-2018,64.92,65.44,64.36,64.45,5927662,AEP
07-02-2018,10.6,10.78,10.465,10.48,8786251,AES
07-02-2018,181.49,184.12,181.39,181.49,2123860,AET
07-02-2018,85.44,87.1099,85.27,85.6,2321841,AFL
07-02-2018,168.93,172.98,167.07,170.39,3722660,AGN
07-02-2018,60,61.3,59.68,60.47,7719767,AIG
07-02-2018,39.56,40.28,39.21,39.21,1042133,AIV
07-02-2018,88.04,89.72,87.21,88.49,455944,AIZ
07-02-2018,65.36,67.25,65.23,66.11,1247795,AJG
07-02-2018,67.75,68.65,64.31,64.48,9634937,AKAM
07-02-2018,107.46,109.48,106.56,106.63,1668253,ALB
07-02-2018,241,242.22,233.6,234.33,1160687,ALGN
07-02-2018,63.14,64.96,63.04,64.23,2025459,ALK
07-02-2018,79.74,81.2,79.74,79.96,578408,ALLE
07-02-2018,96.14,98.295,95.9151,96.87,3174347,ALL
07-02-2018,113.95,119.12,113.59,117.15,2695826,ALXN
07-02-2018,49.87,50.58,48.67,48.69,14763371,AMAT
07-02-2018,11.7,11.9,11.53,11.6,55758364,AMD
07-02-2018,74.25,75,74.1,74.16,1569087,AME
07-02-2018,176.25,180.99,176,177.47,5715671,AMGN
07-02-2018,188.61,191.35,186.67,187.87,590015,AMG
07-02-2018,159.33,164.34,159,160.11,1313224,AMP
07-02-2018,139.85,142.33,139.24,140,2245859,AMT
07-02-2018,1449,1460.99,1415.15,1416.78,7162741,AMZN
07-02-2018,102.87,105.21,100.51,100.62,2181191,ANDV
07-02-2018,156.23,157.95,154.58,155.03,444206,ANSS
07-02-2018,233.88,240.68,232.71,238.44,2312331,ANTM
07-02-2018,139.65,142.63,139.35,140.55,1959934,AON
07-02-2018,62.16,63.86,62.13,62.72,1155280,AOS
07-02-2018,41.18,41.9722,39.33,39.55,5675382,APA
07-02-2018,60.76,61.23,57.67,58.72,12011935,APC
07-02-2018,159.59,161.83,158.11,158.21,1650018,APD
07-02-2018,88.01,89.83,87.46,88.28,1782008,APH
07-02-2018,92.53,95.345,92.2395,93.69,1868427,APTV
07-02-2018,118.2,120.91,117.77,118.96,963488,ARE
07-02-2018,25.1,25.46,24.87,25.1,5549170,ARNC
07-02-2018,69.62,70.86,69.43,69.46,6255211,ATVI
07-02-2018,159.84,162.52,158.21,158.28,1153872,AVB
07-02-2018,238.76,243.1,237,237.38,4047486,AVGO
07-02-2018,114.22,116.84,114.22,114.78,852676,AVY
07-02-2018,79,79.74,77.96,77.96,1268677,AWK
07-02-2018,93.53,94.85,93.41,93.61,3796803,AXP
07-02-2018,147.98,150.67,147.98,148.07,813480,AYI
07-02-2018,742.14,753.73,726.4,728.33,412194,AZO
07-02-2018,68.19,69.085,67.905,68.06,1988391,A
07-02-2018,31.12,31.74,30.86,31.25,101180515,BAC
07-02-2018,66.48,66.95,65.48,65.55,3943853,BAX
07-02-2018,340.52,353.59,339.87,348.12,7946670,BA
07-02-2018,53.44,54.35,53.3,53.82,4511483,BBT
07-02-2018,70.11,72.31,69.87,71.26,3468231,BBY
07-02-2018,227.93,227.93,220.93,221.92,2612475,BDX
07-02-2018,39.46,40.33,39.44,39.44,3689034,BEN
07-02-2018,64.65,66.67,64.65,65.08,963560,BF.B
07-02-2018,58.53,60.26,58.53,59,1123287,BHF
07-02-2018,29.43,29.83,28.64,28.81,3656339,BHGE
07-02-2018,329.9,333.59,326.25,326.89,1237256,BIIB
07-02-2018,55.22,56.205,55.21,55.34,6123722,BK
07-02-2018,535.18,541.66,532,532.26,672416,BLK
07-02-2018,40.09,40.5,39.31,39.33,7549054,BLL
07-02-2018,60.64,62.77,60.3,62.63,12176593,BMY
07-02-2018,202,204.48,200,200.37,5758041,BRK.B
07-02-2018,26.52,26.71,26.31,26.32,8216683,BSX
07-02-2018,53.92,55.78,53.07,55,2417604,BWA
07-02-2018,114.96,116.965,114.96,115.34,927972,BXP
07-02-2018,35.72,36.66,35.65,35.89,3871827,CAG
07-02-2018,65.14,66.31,64.52,65.14,3391379,CAH
07-02-2018,155.36,158.09,154.28,154.34,7156489,CAT
07-02-2018,33.55,34.4,33.45,34,4136564,CA
07-02-2018,42.55,43.49,42.36,42.54,2945261,CBG
07-02-2018,111.01,116.09,111.01,114.565,4190808,CBOE
07-02-2018,53.91,54.9,53.3,53.44,4062203,CBS
07-02-2018,145.6,149.64,144.8931,147.52,3102309,CB
07-02-2018,108.3,109.91,107.82,108.75,2978747,CCI
07-02-2018,68.61,69.954,68.38,69.12,3122572,CCL
07-02-2018,37.91,39.715,37.61,38.57,2765421,CDNS
07-02-2018,95.86,96.75,94.53,95.16,7363913,CELG
07-02-2018,62.49,64.57,61.53,63.48,6285388,CERN
07-02-2018,44.33,45.39,43.7,44.84,6545971,CFG
07-02-2018,38.71,40.37,38.66,39.48,3264357,CF
07-02-2018,48.38,48.84,47.35,47.37,4354860,CHD
07-02-2018,3.12,3.16,2.8,2.89,71174880,CHK
07-02-2018,90.47,93.645,90.47,92.57,2069344,CHRW
07-02-2018,367.11,370.52,360.061,363.55,1554983,CHTR
07-02-2018,72.27,73.84,72.27,72.63,1037517,CINF
07-02-2018,196.34,198.33,194.38,195.44,1729211,CI
07-02-2018,130.81,130.9,127.67,127.82,1857151,CLX
07-02-2018,70.4,71.04,70.02,70.17,4413154,CL
07-02-2018,92.12,95.13,92.09,93.58,1911790,CMA
07-02-2018,39.5,40.4153,39.37,40.15,33065633,CMCSA
07-02-2018,158.67,162,156.85,159.93,2725560,CME
